chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AAPL,2022-01-14,160.0000,put,buy,2022-01-06T15:34:36.326147Z,debit,1.00000,limit,long_put,,0.35000000,1.00000
AAPL,2022-01-14,160.0000,put,buy,2022-01-06T15:18:19.310693Z,debit,1.00000,limit,long_put,,0.43000000,1.00000
SQ,2022-01-14,185.0000,call,sell,2022-01-06T15:02:51.327312Z,credit,1.00000,limit,,long_call,0.06000000,1.00000
BABA,2022-01-07,135.0000,call,sell,2022-01-06T14:54:03.698555Z,credit,2.00000,limit,,long_call,0.22000000,2.00000
SQ,2022-01-14,185.0000,call,buy,2022-01-05T15:16:27.205137Z,debit,1.00000,limit,long_call,,0.18000000,1.00000
BABA,2022-01-07,135.0000,call,buy,2022-01-05T14:44:59.433823Z,debit,2.00000,limit,long_call,,0.45000000,2.00000
NIO,2022-01-14,35.0000,call,sell,2022-01-03T17:53:58.179777Z,credit,1.00000,limit,,long_call,0.89000000,1.00000
NIO,2022-01-14,35.0000,call,buy,2022-01-03T15:23:08.230940Z,debit,1.00000,limit,long_call,,0.75000000,1.00000
AMD,2022-01-07,160.0000,call,sell,2022-01-03T15:11:31.922346Z,credit,1.00000,limit,,long_call,0.71000000,1.00000
AMD,2022-01-07,160.0000,call,buy,2022-01-03T15:02:26.829924Z,debit,1.00000,limit,long_call,,0.90000000,1.00000
SQ,2021-12-31,165.0000,call,sell,2021-12-31T14:52:10.105976Z,credit,1.00000,limit,,long_call,0.65000000,1.00000
SQ,2021-12-31,165.0000,call,buy,2021-12-31T14:46:51.048700Z,debit,1.00000,limit,long_call,,0.48000000,1.00000
BABA,2022-01-21,140.0000,call,sell,2021-12-30T14:34:10.895687Z,credit,1.00000,limit,,long_call,0.42000000,1.00000
BABA,2022-01-21,140.0000,call,buy,2021-12-29T16:49:08.816864Z,debit,1.00000,limit,long_call,,0.28000000,1.00000
DASH,2021-12-31,175.0000,call,sell,2021-12-28T15:47:54.199445Z,credit,3.00000,limit,,long_call,0.07000000,3.00000
DASH,2021-12-31,175.0000,call,buy,2021-12-27T20:58:59.978320Z,debit,3.00000,limit,long_call,,0.19000000,3.00000
NIO,2022-01-07,35.0000,call,sell,2021-12-27T17:21:28.061549Z,credit,3.00000,limit,,long_call,0.21000000,3.00000
NIO,2022-01-07,35.0000,call,buy,2021-12-27T14:55:58.338802Z,debit,1.00000,limit,long_call,,0.31000000,1.00000
NIO,2022-01-07,35.0000,call,buy,2021-12-27T14:32:48.991593Z,debit,2.00000,limit,long_call,,0.36000000,2.00000
NVDA,2021-12-31,325.0000,call,sell,2021-12-23T17:22:38.599308Z,credit,1.00000,limit,,long_call,0.92000000,1.00000
NVDA,2021-12-31,325.0000,call,buy,2021-12-23T14:32:21.359216Z,debit,1.00000,limit,long_call,,1.42000000,1.00000
TSLA,2021-12-23,1070.0000,call,sell,2021-12-22T14:56:17.181036Z,credit,1.00000,limit,,long_call,0.94000000,1.00000
TSLA,2021-12-23,1070.0000,call,buy,2021-12-22T14:37:59.884308Z,debit,1.00000,limit,long_call,,1.15000000,1.00000
NIO,2022-01-07,30.0000,call,sell,2021-12-21T14:36:11.261294Z,credit,1.00000,limit,,long_call,1.75000000,1.00000
NIO,2022-01-07,30.0000,call,buy,2021-12-20T20:01:20.237093Z,debit,1.00000,limit,long_call,,1.38000000,1.00000
EBAY,2021-04-16,70.0000,call,sell,2021-02-23T16:04:12.553644Z,credit,3.00000,limit,,long_call,0.55000000,3.00000
EBAY,2021-04-16,70.0000,call,buy,2021-02-23T16:02:40.317279Z,debit,3.00000,limit,long_call,,0.55000000,3.00000
WFC,2021-03-19,35.0000,call,sell,2021-02-04T15:06:39.845149Z,credit,2.00000,limit,,long_call,0.80000000,2.00000
DD,2021-02-19,105.0000,call,sell,2021-02-03T18:17:29.269736Z,credit,1.00000,limit,,long_call,0.13000000,1.00000
PFE,2021-02-19,40.0000,call,sell,2021-02-03T14:55:32.476208Z,credit,10.00000,limit,,long_call,0.05000000,10.00000
DD,2021-02-19,105.0000,call,buy,2021-02-02T17:22:20.413739Z,debit,1.00000,limit,long_call,,0.15000000,1.00000
